127,-1,
0,-1,
-1,-1,
-1,-1,
-1,-1,
-1,-1,
-1,-1,
-1,-1,
-1,-1,
-1,-1,
-1,-1,
-1,-1,
-1,-1,
-1,-1,
-1,-1,
-1,-1,
-1,-1,
-1,-1,
-1,-1,
-1,-1,
-1,-1,
-1,-1,
-1,-1,
-1,-1,
-1,-1,
-1,-1,
-1,-1,
0,-1,
6,-1,
84,-1,
148,-1,
140,-1,
120,-1,
120,-1,
89,-1,
44,-1,
36,-1,
28,-1,
21,-1,
13,-1,
13,-1,
11,-1,
10,-1,
8,-1,
7,-1,
5,-1,
4,-1,
2,-1,
1,-1,
-1,-1,
-1,-1,
-1,-1,
-1,-1,
1,-1,
10,-1,
31,-1,
31,-1,
39,-1,
47,-1,
67,-1,
87,-1,
127,-1,
167,-1,
167,-1,
138,-1,
131,-1,
125,-1,
95,-1,
64,-1,
34,-1,
24,-1,
13,-1,
3,-1,
-1,-1,
-1,-1,
-1,-1,
-1,-1,
-1,-1,
-1,-1,
-1,-1,
-1,-1,
-1,-1,
-1,-1,
-1,-1,
-1,-1,
-1,-1,
-1,-1,
-1,-1,
3,-1,
10,-1,
58,-1,
52,-1,
89,-1,
89,-1,
109,-1,
81,-1,
88,-1,
88,-1,
81,-1,
74,-1,
67,-1,
83,-1,
125,-1,
154,-1,
213,-1,
203,-1,
156,-1,
109,-1,
46,-1,
23,-1,
0,-1,
-1,-1,
-1,-1,
-1,-1,
-1,-1,
-1,-1,
-1,-1,
0,-1,
51,-1,
102,-1,
-1,-1,
102,-1,
86,-1,
120,-1,
120,-1,
160,-1,
160,-1,
130,-1,
86,-1,
43,-1,
49,-1,
12,-1,
10,-1,
7,-1,
5,-1,
2,-1,
0,-1,
-1,-1,
-1,-1,
-1,-1,
-1,-1,
-1,-1,
-1,-1,
-1,-1,
-1,-1,
-1,-1,
-1,-1,
-1,-1,
-1,-1,
-1,-1,
-1,-1,
-1,-1,
-1,-1,
-1,-1,
-1,-1,
-1,-1,
0,-1,
14,-1,
28,-1,
166,-1,
166,-1,
210,-1,
155,-1,
23,-1,
5,-1,
91,-1,
110,-1,
67,-1,
67,-1,
89,-1,
151,-1,
143,-1,
136,-1,
108,-1,
80,-1,
80,-1,
127,-1,
95,-1,
12,-1,
12,-1,
6,-1,
0,-1,
15,-1,
86,-1,
157,-1,
157,-1,
96,-1,
4,-1,
11,-1,
19,-1,
121,-1,
98,-1,
75,-1,
75,-1,
91,-1,
70,-1,
38,-1,
7,-1,
13,-1,
165,-1,
86,-1,
69,-1,
126,-1,
51,-1,
40,-1,
40,-1,
31,-1,
31,-1,
10,-1,
-1,-1,
-1,-1,
10,-1,
42,-1,
42,-1,
31,127,
20,125,
92,123,
54,121,
17,120,
23,118,
16,116,
10,114,
3,112,
16,110,
11,108,
7,106,
2,105,
-1,103,
-1,101,
-1,99,
2,97,
22,95,
56,93,
77,92,
99,90,
134,88,
54,86,
22,84,
22,82,
115,80,
59,78,
23,77,
14,75,
6,73,
13,71,
6,69,
18,67,
1,65,
7,64,
13,62,
45,60,
45,58,
102,56,
84,54,
65,52,
47,50,
29,49,
34,47,
40,45,
45,43,
51,41,
56,39,
44,37,
44,35,
71,34,
48,32,
61,30,
47,28,
47,26,
27,24,
38,22,
49,21,
49,19,
41,17,
34,15,
9,13,
7,11,
4,9,
2,7,
0,6,
-1,4,
-1,2,
-1,0,
-1,-1,
-1,-1,
-1,-1,
0,-1,
39,-1,
50,-1,
37,-1,
25,-1,
115,-1,
